Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/17/2026 22:58:33,System.Runtime,dotnet.process.memory.working_set (By),Metric,41218048
07/17/2026 22:58:33,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
07/17/2026 22:58:33,System.Runtime,dotnet.assembly.count ({assembly}),Metric,19
07/17/2026 22:58:33,ZeroGC.Bench,operations (Count / 1 sec),Rate,16250
07/17/2026 22:58:34,System.Runtime,dotnet.process.memory.working_set (By),Metric,44376064
07/17/2026 22:58:34,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,157
07/17/2026 22:58:34,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0753539
07/17/2026 22:58:34,System.Runtime,dotnet.timer.count ({timer}),Metric,0
